StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4_3,Q4_1,Q4_2,Q4_5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Participant ID,Please select your gender:,Please enter your age:,"On a scale from 1-7, rate the following questions: - How often do you play videogames?","On a scale from 1-7, rate the following questions: - How often do you use mixed reality applications (AR/VR)?","On a scale from 1-7, rate the following questions: - How often do you interact with robotic arms?","On a scale from 1-7, rate the following questions: - How often do you engage in activities requiring upper limb coordination?"
"{""ImportId"":""startDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_5""}"
22/08/2024 12:53,22/08/2024 12:55,0,128.250.0.37,100,65,1,22/08/2024 12:55,R_4wqnodFLMwFPnYR,,,,,-37.8159,144.9669,qr,EN,14,9,27,7,2,1,2
22/08/2024 14:12,22/08/2024 14:13,0,128.250.0.37,100,57,1,22/08/2024 14:13,R_42lR9xoSGDAuvw3,,,,,-37.8159,144.9669,qr,EN,3,10,23,2,3,2,2
22/08/2024 15:27,22/08/2024 15:29,0,128.250.0.37,100,129,1,22/08/2024 15:29,R_46F5uLsWhZAuGVH,,,,,-37.8159,144.9669,qr,EN,15,10,37,4,2,2,6
22/08/2024 17:55,22/08/2024 17:56,0,128.250.0.37,100,67,1,22/08/2024 17:56,R_4PvsAaSwzFvcBwn,,,,,-37.8159,144.9669,qr,EN,2,9,31,2,3,1,5
22/08/2024 18:34,22/08/2024 18:37,0,128.250.0.37,100,146,1,22/08/2024 18:37,R_47qYUxp38wuLKSo,,,,,-37.8159,144.9669,qr,EN,1,10,33,3,3,1,6
23/08/2024 11:37,23/08/2024 11:38,0,128.250.0.56,100,55,1,23/08/2024 11:38,R_4rjMccN3OIlOFAf,,,,,-37.8159,144.9669,qr,EN,4,10,21,5,3,4,3
23/08/2024 13:53,23/08/2024 13:55,0,128.250.0.56,100,107,1,23/08/2024 13:55,R_4q83P8gXJrnmyUo,,,,,-37.8159,144.9669,qr,EN,16,10,21,4,1,1,3
23/08/2024 15:24,23/08/2024 15:26,0,128.250.0.56,100,131,1,23/08/2024 15:26,R_4ZPl8Jhc1576wW5,,,,,-37.8159,144.9669,qr,EN,5,10,21,4,1,1,3
23/08/2024 16:39,23/08/2024 16:41,0,128.250.0.56,100,105,1,23/08/2024 16:41,R_4E6uX5w7rokC5Oz,,,,,-37.8159,144.9669,qr,EN,17,10,20,7,1,1,7
26/08/2024 10:12,26/08/2024 10:13,0,128.250.0.37,100,34,1,26/08/2024 10:13,R_4DTmKsL3xHTxAV1,,,,,-37.8159,144.9669,qr,EN,6,9,25,7,1,2,3
26/08/2024 10:59,26/08/2024 11:00,0,128.250.0.37,100,51,1,26/08/2024 11:00,R_4fk9PyjoBuWZa15,,,,,-37.8159,144.9669,qr,EN,13,9,28,4,2,2,3
26/08/2024 15:17,26/08/2024 15:18,0,128.250.0.37,100,61,1,26/08/2024 15:18,R_4F5wjJCfXDNCJmp,,,,,-37.8159,144.9669,qr,EN,18,9,31,7,2,1,3
26/08/2024 16:05,26/08/2024 16:07,0,128.250.0.37,100,124,1,26/08/2024 16:07,R_40yMLyiCGKCAUvL,,,,,-37.8159,144.9669,qr,EN,7,10,31,3,2,1,2
26/08/2024 17:34,26/08/2024 17:34,0,128.250.0.37,100,39,1,26/08/2024 17:35,R_4qJrk3cprwYmv8N,,,,,-37.8159,144.9669,qr,EN,8,9,21,6,7,6,6
27/08/2024 14:15,27/08/2024 14:18,0,128.250.0.37,100,144,1,27/08/2024 14:18,R_4VgG7V4acnG4k6J,,,,,-37.8159,144.9669,qr,EN,19,10,23,3,2,1,1
27/08/2024 16:04,27/08/2024 16:10,0,128.250.0.37,100,359,1,27/08/2024 16:10,R_40SkPmvdFX5tRsC,,,,,-37.8159,144.9669,qr,EN,9,9,30,1,1,1,6
27/08/2024 17:30,27/08/2024 17:31,0,128.250.0.37,100,52,1,27/08/2024 17:31,R_4xLu5Bh6Ya6JGk8,,,,,-37.8159,144.9669,qr,EN,20,9,27,4,2,2,2
28/08/2024 13:36,28/08/2024 13:36,0,128.250.0.37,100,31,1,28/08/2024 13:36,R_4prOgKDkUXsCTfT,,,,,-37.8159,144.9669,qr,EN,21,10,22,3,1,1,1
28/08/2024 14:50,28/08/2024 14:53,0,128.250.0.37,100,199,1,28/08/2024 14:53,R_4kboPjXAef1TPMJ,,,,,-37.8159,144.9669,qr,EN,10,10,19,1,2,2,1
29/08/2024 10:59,29/08/2024 11:05,0,128.250.0.37,100,386,1,29/08/2024 11:05,R_4VuS4HLSUBH5dD3,,,,,-37.8159,144.9669,qr,EN,24,10,22,2,1,1,6
29/08/2024 13:09,29/08/2024 13:10,0,128.250.0.37,100,69,1,29/08/2024 13:10,R_4GHo2hZCClXX6at,,,,,-37.8159,144.9669,qr,EN,11,10,22,1,1,1,7
29/08/2024 14:27,29/08/2024 14:28,0,128.250.0.37,100,43,1,29/08/2024 14:28,R_4TxEk943cOSZ8Mp,,,,,-37.8159,144.9669,qr,EN,12,9,27,1,3,4,7
29/08/2024 17:06,29/08/2024 17:16,0,128.250.0.37,100,596,1,29/08/2024 17:16,R_4cdQrEl1wrjY87U,,,,,-37.8159,144.9669,qr,EN,22,10,27,2,1,1,4
29/08/2024 18:02,29/08/2024 18:04,0,128.250.0.37,100,98,1,29/08/2024 18:04,R_43xm1ryH4oYYXJe,,,,,-37.8159,144.9669,qr,EN,23,9,25,2,2,2,5
